1438373905686-1194,61,54
Sat Aug 01 2015 19:43:05 GMT+0900 (Korea Standard Time),-632,223,471
Sat Aug 01 2015 19:43:05 GMT+0900 (Korea Standard Time),-632,221,470
Sat Aug 01 2015 19:43:06 GMT+0900 (Korea Standard Time),-628,222,472
Sat Aug 01 2015 19:43:06 GMT+0900 (Korea Standard Time),-630,212,474
Sat Aug 01 2015 19:43:06 GMT+0900 (Korea Standard Time),-627,213,471
Sat Aug 01 2015 19:43:07 GMT+0900 (Korea Standard Time),-627,216,469
Sat Aug 01 2015 19:43:07 GMT+0900 (Korea Standard Time),-629,221,469
Sat Aug 01 2015 19:43:07 GMT+0900 (Korea Standard Time),-631,220,470
Sat Aug 01 2015 19:43:08 GMT+0900 (Korea Standard Time),-632,219,468
Sat Aug 01 2015 19:43:08 GMT+0900 (Korea Standard Time),-626,254,460
Sat Aug 01 2015 19:43:08 GMT+0900 (Korea Standard Time),-471,223,512
Sat Aug 01 2015 19:43:09 GMT+0900 (Korea Standard Time),-510,213,520
Sat Aug 01 2015 19:43:09 GMT+0900 (Korea Standard Time),-428,185,556
Sat Aug 01 2015 19:43:09 GMT+0900 (Korea Standard Time),-500,208,524
Sat Aug 01 2015 19:43:10 GMT+0900 (Korea Standard Time),-579,311,488
Sat Aug 01 2015 19:43:10 GMT+0900 (Korea Standard Time),-480,224,530
Sat Aug 01 2015 19:43:10 GMT+0900 (Korea Standard Time),-469,227,523
Sat Aug 01 2015 19:43:11 GMT+0900 (Korea Standard Time),-471,153,515
Sat Aug 01 2015 19:43:11 GMT+0900 (Korea Standard Time),-480,136,512
Sat Aug 01 2015 19:43:11 GMT+0900 (Korea Standard Time),-488,158,512
Sat Aug 01 2015 19:43:12 GMT+0900 (Korea Standard Time),-450,180,514
Sat Aug 01 2015 19:43:12 GMT+0900 (Korea Standard Time),-353,255,500
Sat Aug 01 2015 19:43:12 GMT+0900 (Korea Standard Time),-188,285,480
Sat Aug 01 2015 19:43:13 GMT+0900 (Korea Standard Time),-100,97,473
Sat Aug 01 2015 19:43:13 GMT+0900 (Korea Standard Time),-197,-1,522
Sat Aug 01 2015 19:43:13 GMT+0900 (Korea Standard Time),-157,68,455
Sat Aug 01 2015 19:43:14 GMT+0900 (Korea Standard Time),-418,226,523
Sat Aug 01 2015 19:43:14 GMT+0900 (Korea Standard Time),-567,190,481
Sat Aug 01 2015 19:43:14 GMT+0900 (Korea Standard Time),-530,152,501
Sat Aug 01 2015 19:43:15 GMT+0900 (Korea Standard Time),-478,100,482
Sat Aug 01 2015 19:43:15 GMT+0900 (Korea Standard Time),-449,22,487
Sat Aug 01 2015 19:43:15 GMT+0900 (Korea Standard Time),-495,15,440
Sat Aug 01 2015 19:43:16 GMT+0900 (Korea Standard Time),-443,-328,204
Sat Aug 01 2015 19:43:16 GMT+0900 (Korea Standard Time),-454,-337,171
Sat Aug 01 2015 19:43:16 GMT+0900 (Korea Standard Time),-466,-321,197
Sat Aug 01 2015 19:43:17 GMT+0900 (Korea Standard Time),-415,-320,201
Sat Aug 01 2015 19:43:17 GMT+0900 (Korea Standard Time),-441,-334,180
Sat Aug 01 2015 19:43:18 GMT+0900 (Korea Standard Time),-435,-325,188
Sat Aug 01 2015 19:43:18 GMT+0900 (Korea Standard Time),-433,-316,205
Sat Aug 01 2015 19:43:18 GMT+0900 (Korea Standard Time),-452,-323,197
Sat Aug 01 2015 19:43:19 GMT+0900 (Korea Standard Time),-298,-311,236
Sat Aug 01 2015 19:43:19 GMT+0900 (Korea Standard Time),-486,-362,180
Sat Aug 01 2015 19:43:19 GMT+0900 (Korea Standard Time),-408,-278,282
Sat Aug 01 2015 19:43:20 GMT+0900 (Korea Standard Time),-327,-271,288
Sat Aug 01 2015 19:43:20 GMT+0900 (Korea Standard Time),-403,-133,393
Sat Aug 01 2015 19:43:20 GMT+0900 (Korea Standard Time),-441,-22,435
Sat Aug 01 2015 19:43:21 GMT+0900 (Korea Standard Time),-416,54,449
Sat Aug 01 2015 19:43:21 GMT+0900 (Korea Standard Time),-386,120,447
Sat Aug 01 2015 19:43:21 GMT+0900 (Korea Standard Time),-416,167,418
Sat Aug 01 2015 19:43:22 GMT+0900 (Korea Standard Time),-455,263,424
Sat Aug 01 2015 19:43:22 GMT+0900 (Korea Standard Time),-485,263,415
Sat Aug 01 2015 19:43:22 GMT+0900 (Korea Standard Time),-502,353,409
Sat Aug 01 2015 19:43:23 GMT+0900 (Korea Standard Time),-468,367,431
Sat Aug 01 2015 19:43:23 GMT+0900 (Korea Standard Time),-413,364,445
Sat Aug 01 2015 19:43:23 GMT+0900 (Korea Standard Time),-407,355,447
Sat Aug 01 2015 19:43:24 GMT+0900 (Korea Standard Time),-407,352,445
Sat Aug 01 2015 19:43:24 GMT+0900 (Korea Standard Time),-392,352,446
Sat Aug 01 2015 19:43:24 GMT+0900 (Korea Standard Time),-387,354,446
Sat Aug 01 2015 19:43:25 GMT+0900 (Korea Standard Time),-382,322,457
Sat Aug 01 2015 19:43:25 GMT+0900 (Korea Standard Time),-392,319,453
Sat Aug 01 2015 19:43:25 GMT+0900 (Korea Standard Time),-437,212,484
Sat Aug 01 2015 19:43:26 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:26 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:26 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:27 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:27 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:27 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:28 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:28 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:28 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:29 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:29 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:29 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:30 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:30 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:30 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:31 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:31 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:31 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:32 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:32 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:33 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:33 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:33 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:34 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:43:34 GMT+0900 (Korea Standard Time),-361,119,512
Sat Aug 01 2015 19:51:57 GMT+0900 (Korea Standard Time),-469,79,583
Sat Aug 01 2015 19:51:57 GMT+0900 (Korea Standard Time),-484,82,576
Sat Aug 01 2015 19:51:57 GMT+0900 (Korea Standard Time),-487,84,574
Sat Aug 01 2015 19:51:57 GMT+0900 (Korea Standard Time),-485,81,575
Sat Aug 01 2015 19:51:58 GMT+0900 (Korea Standard Time),-489,84,573
Sat Aug 01 2015 19:51:58 GMT+0900 (Korea Standard Time),-498,86,570
Sat Aug 01 2015 19:51:58 GMT+0900 (Korea Standard Time),-502,87,570
Sat Aug 01 2015 19:51:58 GMT+0900 (Korea Standard Time),-500,88,571
Sat Aug 01 2015 19:51:58 GMT+0900 (Korea Standard Time),-497,84,570
Sat Aug 01 2015 19:51:59 GMT+0900 (Korea Standard Time),-495,84,574
Sat Aug 01 2015 19:51:59 GMT+0900 (Korea Standard Time),-489,80,576
Sat Aug 01 2015 19:51:59 GMT+0900 (Korea Standard Time),-491,80,575
Sat Aug 01 2015 19:51:59 GMT+0900 (Korea Standard Time),-490,80,575
Sat Aug 01 2015 19:52:00 GMT+0900 (Korea Standard Time),-495,81,573
Sat Aug 01 2015 19:52:00 GMT+0900 (Korea Standard Time),-495,81,572
Sat Aug 01 2015 19:52:00 GMT+0900 (Korea Standard Time),-494,81,573
Sat Aug 01 2015 19:52:00 GMT+0900 (Korea Standard Time),-494,80,573
Sat Aug 01 2015 19:52:01 GMT+0900 (Korea Standard Time),-492,80,573
Sat Aug 01 2015 19:52:01 GMT+0900 (Korea Standard Time),-491,77,572
Sat Aug 01 2015 19:52:01 GMT+0900 (Korea Standard Time),-491,78,573
Sat Aug 01 2015 19:52:01 GMT+0900 (Korea Standard Time),-491,78,573
Sat Aug 01 2015 19:52:02 GMT+0900 (Korea Standard Time),-491,78,573
Sat Aug 01 2015 19:52:02 GMT+0900 (Korea Standard Time),-491,76,572
Sat Aug 01 2015 19:52:02 GMT+0900 (Korea Standard Time),-491,76,572
